repo,file_path,file_type,job_name,step_name,task_category,normalized_tool,raw_match
urllib3,noxfile.py,noxfile,,,code_management_analysis,mypy,mypy
urllib3,noxfile.py,noxfile,,,code_management_analysis,pre-commit,pre-commit
urllib3,noxfile.py,noxfile,,,configuration_provisioning,nox,nox
urllib3,noxfile.py,noxfile,,,configuration_provisioning,venv,virtualenv
urllib3,noxfile.py,noxfile,,,testing_tool,coverage,coverage
urllib3,noxfile.py,noxfile,,,testing_tool,nox,nox
urllib3,noxfile.py,noxfile,,,testing_tool,pytest,pytest
urllib3,pyproject.toml,pyproject,,,build_tool,hatchling,hatchling.build
urllib3,pyproject.toml,pyproject,,,build_tool,hatchling,"hatchling>=1.27.0,<2"
urllib3,pyproject.toml,pyproject,,,build_tool,setuptools,"setuptools-scm>=8,<11"
urllib3,pyproject.toml,pyproject,,,code_management_analysis,black,black
urllib3,pyproject.toml,pyproject,,,code_management_analysis,isort,[tool.isort]
urllib3,pyproject.toml,pyproject,,,code_management_analysis,isort,isort
urllib3,pyproject.toml,pyproject,,,code_management_analysis,mypy,[tool.mypy]
urllib3,pyproject.toml,pyproject,,,code_management_analysis,mypy,mypy
urllib3,pyproject.toml,pyproject,,,configuration_provisioning,hatch,[tool.hatch]
urllib3,pyproject.toml,pyproject,,,configuration_provisioning,hatch,hatch
urllib3,pyproject.toml,pyproject,,,configuration_provisioning,nox,nox
urllib3,pyproject.toml,pyproject,,,testing_tool,coverage,coverage
urllib3,pyproject.toml,pyproject,,,testing_tool,nox,nox
urllib3,pyproject.toml,pyproject,,,testing_tool,pytest,[tool.pytest]
urllib3,pyproject.toml,pyproject,,,testing_tool,pytest,pytest
urllib3,pyproject.toml,pyproject,,,version_control_system,setuptools-scm,setuptools-scm
urllib3,pyproject.toml,pyproject,,,version_control_system,towncrier,towncrier
urllib3,setup.cfg,setup_cfg,,,code_management_analysis,flake8,flake8
urllib3,towncrier.toml,release_file,,,version_control_system,towncrier,towncrier
certifi,.github/workflows/bump.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/bump.yml
